Name,FTName,Soil,DescGrowSeason,CultivationGroup_RotationInfo,SunReq,TempClass,NutrientReq,PreferrPH,GenDesc,Sensitivities,WaterReq,PlantReq,OptGermTemp,DaysToGerm,PlantIdealTemp,LengthGorwingToHarvest,DiseaseMang,EnergyValue100gKcal,NutritInfo,PestsPathogens
Zucchini or Courgette,Cucurbita pepo,Any well-drained and fertile,Annual,Cucurbit,Full sun,Tender,High,6.0-7.0,"Used as a vegetable, it has a very mild flavour and is very watery. Tends to be harvested when very young.",Currently no data available.,Medium,Courgettes are easy to grow and will crop prolifically through summer and early autumn. They are ready for picking very soon after flowering. They will swell and form marrows if not harvested.,21,7,21-35,50-60,Currently no data available.,0,Currently no data available.,Currently no data available.
Cucumber,Cucumis sativus,Any well-drained and fertile,Annual,Cucurbit,Full sun/partial shade,Tender,High,5.5-7.0,A climbing plant that produces fruits that are used raw in salads or cooked.  Valued for its crisp texture and juiciness.,Currently no data available.,High,"There are indoor and outdoor varieties available so it’s worth checking what's the right type for you before you start sowing. You can grow cucumbers in the ground, in growbags and even in containers.",35,3,16-35,90-120,Currently no data available.,0,Currently no data available.,Currently no data available.
Melon,Cucumis melo,Loamy,Annual,Cucurbit,Full sun,Tender,High,5.5-7.5,A sweet fruit eaten raw with a high water content so is refreshing.  The seeds can also be eaten and are rich in oil.,Currently no data available.,High,"Melons are tender plants. They need a warm, and sunny spot with high humidity and a rich, fertile, moisture retentive, deep and well-drained soil.",24-32,4-10,18 -,75-100,Currently no data available.,0,Currently no data available.,Currently no data available.
Pumpkin,Cucurbita moschata,Any well-drained and fertile,Annual,Cucurbit,Full sun,Hardy,High,6.0-7.0,"Both the flesh and the seed of the fruit can be eaten.  The flesh is eaten cooked, and seeds can be eaten raw.",Currently no data available.,Medium,"Pumpkins are fun and  easy to cultivate, but need a sunny position, plenty of water, and shelter from cold winds. Once the first fruits start to swell,  feed every 10-14 days with a high potash liquid fertiliser.",35,4,21-35,90-120,Currently no data available.,0,Currently no data available.,Currently no data available.
Water melon,Citrullus lanatus,Sandy,Annual,Cucurbit,Full sun,Tender,High,6.0-7.0,"The flesh of these large fruits are eaten raw.  They have a very high water content, so are often used to make refreshing drinks.",Currently no data available.,High,"Native to Africa, melons are very tender and need warmth (up to 25°F during the day) along with a long growing season.  They  are heavy feeders, and grow best on raised rows to ensure good drainage and heat retention.",35,4,26,80-100,Currently no data available.,0,Currently no data available.,Currently no data available.
Lettuce,Lactuca sativa,Any well-drained and fertile,Annual,Salad,Partial shade,Tender,Medium,6.0-7.0,"Hearting lettuces have a dense centre of leaves which can be used in salads.  Choose the right variety and you can have lettuce almost all year, with difference colours and flavours to try.",Currently no data available.,High,Lettuce requires full sun on moisture-retentive soil.  It is a cool season crop and can tolerate light frosts. It will bolt in warm weather.,24,3,4-27,45-100,Currently no data available.,0,Currently no data available.,Currently no data available.
Celery,Apium graveolens,Loamy,Currently no data available.,Salad,Full sun/partial shade,Tender,High,6.0-7.0,"The leaves and stems of this plant are eaten either raw or cooked.  When raw they are a common salad ingredient, and cooked they are used in soups.",Currently no data available.,High,"Celery is a long-season crop that can be tricky to grow. It prefers a temperature range of 12-21°C, is a heavy feeder, and requires lots of water.",21,7,13 -,90-140,Currently no data available.,0,Currently no data available.,Currently no data available.
Chicory,cichorium intybus,"Chalky, sandy and clay",Currently no data available.,Salad,Full sun/partial shade,Hardy,Low,6.0-6.7,"The leaves are eaten raw or cooked and are often blanched by excluding light by earthing over, or covering the plant. The root is cooked similar to parsnip, or roasted and used as a coffee substitute.",Currently no data available.,Low,"Chicory prefers an open, sunny site, with moderately fertile well-drained moisture retentive soil.",21,6,10-25,75-80,Currently no data available.,0,Currently no data available.,Currently no data available.
Amaranth,Amaranthus cruentus,Well-drained and fertile,Currently no data available.,Miscellaneous,Full sun,Tender,Medium,6.0-7.0,"Grown for its very small seed.  These can be eaten cooked, or ground into a powder for baking.  Eaten raw they are sprouted and used in salads.",Currently no data available.,Medium,"Amaranth is a warm season crop that requires full sun.  Described as disease-free and drought-tolerant, they thrive in rich and well drained soil. Once established, they produce abundant harvests under dry conditions.",18-24,4,15-20,90-120,Currently no data available.,0,Currently no data available.,Currently no data available.
Artichoke,Cynara cardunculus,Loamy,perennial,Brassica,Full sun/partial shade,Tender,High potassium fertiliser every 2 weeks.,6.0-7.0,The inner heart of the flower buds from this perennial are eaten raw or cooked.,Currently no data available.,Medium,"Globe artichokes are large, architectural perennial plants, that are ornamental enough for the flower garden.  They grow well in reasonably fertile, well drained soils.",Currently no data available.,10-21,10-24,100-150,Currently no data available.,0,Currently no data available.,Currently no data available.
Artichoke,Helianthus tuberosus,Sand/loam/clay,Currently no data available.,Miscellaneous,Full sun,Very hardy,Low,6.5-7.5,"This statuesque plant is a relative of the sunflower. It is grown for it's below-ground tubers that can be cooked or eaten raw, it also boasts attractive yellow flowers perched on 3m (10ft) stems.",Currently no data available.,Low,Jerusalem artichokes are grown from tubers and will grow in just about any soil. Plant the least lumpy ones to breed out the knobbly artichokes which are more difficulty to peel.,18-32,10-17,18-32,110-150,Currently no data available.,0,Currently no data available.,Currently no data available.
Asparagus,Asparagus officinalis,Sandy and loamy,Currently no data available.,Miscellaneous,Full sun/partial shade,Hardy,Medium,6.5-7.5,"Asparagus is a herbaceous, perennial plant of which only the newly emerging shoots from young plants are eaten.",Currently no data available.,Medium,"Grows best in an open, sunny site, but will tolerate dappled shade. It is not fussy about the soil type as long as it is well drained.",24,10,20,,Currently no data available.,0,Currently no data available.,Currently no data available.
Aubergine,Solanum melongena,Loamy and potting mix,Currently no data available.,Solanaceae,Full sun,Tender,High potassium fertiliser every 2 weeks.,5.5-7.0,"Grown for it's egg-shaped, glossy, purple fruit which has white flesh.  Eaten cooked, it is normally baked, stewed or added to soups.",Currently no data available.,very high,Sunshine and warm growing conditions are the key to success. Water regularly and feed with a high potassium liquid fertiliser every two weeks once the first fruit has set.,30,4,24-32,65-80,Currently no data available.,0,Currently no data available.,Currently no data available.
Beans,Phaseolus vulgaris,Any well-drained and fertile,Currently no data available.,Legume,Full sun/partial shade,Tender,Low,6.0-6.5,Pods are picked when mature and then dried.,Currently no data available.,Medium,They are not frost hardy and need sunshine and warm soil to flourish. Beans will not germinate if the soil temperatures are below 10°C.,16,7,16-30,55-80,Currently no data available.,0,Currently no data available.,Currently no data available.
Beetroot,Beta vulgaris,Loamy,Currently no data available.,Umbelliferae,Full sun/partial shade,Half hardy,Medium,6.0-7.5,"Grown for both the root and the leaves.  The root is normally boiled then pickled, but if harvested young they can be used raw.  The leaves can be eaten raw or cooked, but excessive harvesting can reduce the yield of the tape root.",Currently no data available.,Medium,"Beetroot will grow in well-drained, loose,  fertile soil, with plenty of well rotted organic matter added.  Beetroot is one of the few root crops that can be grown from transplants.",30,4,10 - 30,55-80,Currently no data available.,0,"Packed with antioxidants, carbohydrates, potassium and folic acid.",Currently no data available.
Bok Choy,Brassica rapa  (Chinensis group),Loamy,Currently no data available.,Brassica,Full sun,Tender,Low,6.5-7.0,The stalks are crisp and the leaves are smooth and tender with a flavour somewhere between cabbage and chard.  It can be used raw or cooked.,Currently no data available.,High,"Bok choy can handle full sun, but it grows best in partial shade. It needs about 3 - 5 hours of sun each day and can be harvested in 45 - 60 days.  It tolerates light frost, but exposure to cold temperatures in spring can trigger early bolting.",13-24,6-10,10-24,45-60,Currently no data available.,0,Currently no data available.,Currently no data available.
Cabbage,Brassica oleracea,Sand/loam/clay,biennial,Brassica,Full sun,Hardy,High,6.0-7.5,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.",Currently no data available.,High,Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.,26,4,7-30,60-110,Currently no data available.,0,Currently no data available.,Currently no data available.
Cabbage,Brassica oleracea,Sand/loam/clay,biennial,Brassica,Full sun,Hardy,High,6.0-7.5,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.",Currently no data available.,High,Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.,26,4,7-30,60-110,Currently no data available.,0,Currently no data available.,Currently no data available.
Cabbage,Brassica rapa (Chinensis group),Loamy,Currently no data available.,Brassica,Full sun,Tender,High,6.0-7.5,Also know as napa cabbage and is a close relation to pak choi.  This plant has crinkly pal green leaves that grown in a tight oval shaped head.  Can be eaten raw or cooked.,Currently no data available.,High,"Chinese cabbage can handle full sun, but it grows best in partial shade. It needs about 3 - 5 hours of sun each day and can be harvested in 45 - 60 days.  It tolerates light frost, but exposure to cold temperatures in spring can trigger early bolting.",13-24,6-10,10-24,45-60,Currently no data available.,0,Currently no data available.,Currently no data available.
Cabbage,Brassica oleracea,Sand/loam/clay,biennial,Brassica,Full sun,Hardy,High,6.0-7.5,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.",Currently no data available.,High,Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.,26,4,7-30,60-110,Currently no data available.,0,Currently no data available.,Currently no data available.
Cabbage,Brassica oleracea,Sand/loam/clay,biennial,Brassica,Full sun,Hardy,High,6.0-7.5,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.",Currently no data available.,High,Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.,26,4,7-30,60-110,Currently no data available.,0,Currently no data available.,Currently no data available.
Cabbage,Brassica oleracea,Sand/loam/clay,biennial,Brassica,Full sun,Hardy,High,6.0-7.5,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.",Currently no data available.,High,Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.,26,4,7-30,60-110,Currently no data available.,0,Currently no data available.,Currently no data available.
Calabrese,Brassica oleracea,Loamy and sandy,Currently no data available.,Brassica,partial shade,Tender,High,6.0-7.0,"Often described as broccoli, calabrese has one large head, but does produce smaller ones after the main head is harvested.",Currently no data available.,Medium,This cool-season crop grows best when daytime temperatures are in the high teens  °C .,24,7,7-30,55-85,Currently no data available.,0,Currently no data available.,Currently no data available.
Carrot,Daucus carota,Loamy and sandy,biennial,Umbelliferae,Full sun/partial shade,Hardy,Low,5.5-7.0,"The swollen taproot of this fast growing plant can be eaten raw or cooked.  Normally orange, but varieties range from white to black.",Currently no data available.,High,"Best grown in light, fertile soil in a sunny position. Heavy or stony soils can cause stunted or forked carrots.   They like hot weather and are drought resistant, seldom needing water. However if foliage starts wilt, give a thorough soaking of water.",26,4,7-30,60-80,"Be careful when weeding or thinning that you don’t crush the foliage, as the smell attracts carrot fly. Fleece covering or barriers prevent these pests egg laying, especially early in the season.",0,Currently no data available.,Currently no data available.
Celeriac,Apium graveolens (var. rapaceum),Currently no data available.,Currently no data available.,Umbelliferae,Full sun,Hardy,Medium,5.5-6.5,"Also called turnip-rooted celery.  The whole plant can eaten. However, it is usually grown for its knobbly, odd-shaped root, which has a celery-like flavour.  It can be eaten raw or cooked.",Currently no data available.,High,"Celeriac is hardier and more disease resistant than its relative celery. It is a moisture-loving plant that needs fertile, organic rich, moisture retentive soil.  Keep the soil constantly moist – it should never be allowed to dry out.",21-24,11,15-18,90-120,Currently no data available.,0,Currently no data available.,Currently no data available.
Chilli Pepper,Capsicum annuum (Longum group),Loamy and sandy,Currently no data available.,Solanaceae,Full sun,Tender,High,7.0-8.5,"The fruit, the chilli peppers, vary wildly in size, shape and colour, they are green to start with and ripen to a rich red but they can also be orange, yellow, purple or brown.  Chillies are used to add heat to dishes and can be eaten cooked or raw.",Currently no data available.,Medium,"Chilli plants love heat, and require 30°C or more for the fruit to ripen with night temperatures not general dropping below 15°C.  They grow best in rich and free draining soil, but will grow in any reasonably fertile soil.",30,10,17-,60-90,Currently no data available.,0,Currently no data available.,Currently no data available.
Chives,Allium schoenoprasum,"Sandy, clay and peat-rich soil",Currently no data available.,Allium,Full sun/partial shade/full shade,Hardy,Low,6.0-7.5,"A member of the onion family. Chives take up very little space. The bulbs can be eaten as mild onions, the leaves are great in salads and as flavouring, and the flower heads add a splash of colour to any dish.",Currently no data available.,Medium,"Chives are perennial plants that do best in moisture retentive, well-drained soil. They prefer well-dug soil with the addition of well-rotted compost or organic material.   However, they will grow in almost any soil and are fairly tolerant of drought.",21,10,4-30,continual,Currently no data available.,0,Currently no data available.,Currently no data available.
Cress,Lepidium sativum,Currently no data available.,Currently no data available.,Miscellaneous,full sun/partial shade/ full shade,Tender,Low,6.0-7.0,"You can use entire seedlings for micro greens. However, when allowed to grow on to produce mature leaves, they can be used raw in salads.",Currently no data available.,Medium,"Cress is a cool season annual. It grows well in loose soil with a sunny location and. Cress prefers a consistently moist soil, and thrives in hydroponics.",10-18,5,10-18,7-11,Currently no data available.,0,Currently no data available.,Currently no data available.
Endive,Cichorium endivia,Currently no data available.,Currently no data available.,Miscellaneous,Full sun/partial shade,Half hardy,Low,6.0-7.0,A salad green similar to lettuce but stronger in flavour. It is commonly blanched before harvesting to give it a paler appearance and a milder flavour. It grows from a large rosette of light-green leaves in the centre that become dark towards outer edges.,Currently no data available.,Medium,"Endive is a cool-season biennial grown as annuals.  They prefer soils that are light, rich and free draining, but any soil can be used as long as it is not waterlogged. Extender periods of temperatures less than 5°C or dry soil can cause ‘bolting’",21,6,10-25,70-85,Currently no data available.,0,"Rich in many vitamins and minerals, especially in folate and vitamins A and K and is high in fibre.  It is used in salads, soups and sautéed",Currently no data available.
Fennel,Foeniculum vulgare,Currently no data available.,Currently no data available.,Umbelliferae,Full sun,Hardy,High,6.0-7.0,"The whole plant is used for it’s aromatic, slightly sweet, and slightly spicy anise flavour.  The swollen leaf bases, the crispy stems and the delicate fonds for are used garnish. The blossoms are also highly prized for their pollen.",Currently no data available.,Medium,"Fennel can be grown either as an annual for its swollen leaf bases or ‘bulbs’ and edible leaves. Or as an perennial herb for its leaves and seeds.  Once established it is a drought tolerant and prefers a sunny spot in light, free-draining soil.",21,7,15-30,80-,Currently no data available.,0,Currently no data available.,Currently no data available.
Garlic,Allium sativum,Loamy,Currently no data available.,Allium,Full sun/partial shade,Very hard,Low,5.5-7.5,The bulb of the garlic plant has a very strong flavour. It is usually used cooked in small quantities as a flavouring.,Currently no data available.,Medium,"Garlic is best planted between November and April and prefers a position in full sun with a well drained, light soil.",Currently no data available.,Currently no data available.,Currently no data available.,70-,Currently no data available.,0,Currently no data available.,Currently no data available.
Ginger,Zingiber officinale,Currently no data available.,Currently no data available.,Miscellaneous,Partial shade,Tender,Medium,5.0-6.0,"This flowering plant is a herbaceous perennial grown for the rhizome, or root, which has a hot and fragrant flavour.  It has many uses from flavouring dishes to made into candy.",Currently no data available.,High,"In warm climates it can be grown outdoors, chooses deep, enriched, sandy loam soil with part-day shade. In cooler climates, grow ginger in containers placed in sun, and move to partial shade during summer heat waves.",Currently no data available.,Currently no data available.,Currently no data available.,240-,Currently no data available.,0,Currently no data available.,Currently no data available.
Kohlrabi,Brassica oleracea (Gongylodes group),Currently no data available.,Currently no data available.,Brassica,Full sun/partial shade,Very hardy,Medium,6.0-7.5,"Also know and the ""turnip cabbage"", the  swollen stem has a sweet flavour and crunchy texture.",Currently no data available.,Medium,"This odd looking brassica it is more drought resistant than most brassicas, and succeeds where swedes and turnips fail.  It does not need a deep soil, as it is the stem that grows into a bulb.
Provide soil that is free-draining but moisture retentive.",26,4,Currently no data available.,70-80,Currently no data available.,0,Currently no data available.,Currently no data available.
Leek, Allium ampeloprasum,Currently no data available.,Currently no data available.,Allium,Full sun/partial shade,Very hardy,Medium,6.5-7.5,"A member of the onion family that produces a long cylinder of leaves.  Often blanched by placing soil round the stems as they grow, to keep the lower part of the leaves white.",Currently no data available.,Medium,"Leeks are very hardy vegetables that grow best on a moist, light soil that’s had plenty of organic matter added to it.  Grow leeks in a sunny, open position in well-dug soil.",21,7,Currently no data available.,85-150,Currently no data available.,0,Currently no data available.,Currently no data available.
Lettuce,Valerianella locusta,Loamy,Currently no data available.,Miscellaneous,Full sun,Tender,Medium,6.0-7.0,"A small annual plant who’s leaves are eaten raw as salad greens.  It has a characteristic nutty flavour, dark green colour, and a soft texture.",Currently no data available.,High,"Corn salad grows best on fertilizer remaining in the bed after summer crops have been harvested, but will grow vigorously in almost any soil.  It is a hardy survivor and will be bountiful in the early spring.",13,7,4-27,30-60,Currently no data available.,0,Currently no data available.,Currently no data available.
Lettuce,Lactuca sativa,Loamy,Currently no data available.,Miscellaneous,Partial shade,Tender,Medium,6.0-7.0,The crisp leaves of lettuce are used in salads.  There is no tight head in these varieties and for this reason are more perishable.,Currently no data available.,High,"Grow lettuces in full sun on moisture-retentive soil, by choosing the right varieties and you can have lettuce almost all year round.  High soil temperatures in summer can prevent some cultivars from germinating.",24,Currently no data available.,4-27,60-,Currently no data available.,0,Currently no data available.,Currently no data available.
Purslane,Claytonia perfoliata,Currently no data available.,Currently no data available.,Miscellaneous,Full sun/partial shade,Very hardy,Medium,6.0-7.0,These succulent and juicy leaves are on of the hardiest salad leaves and can be grown all year round.,Currently no data available.,High,"Plants do best in a slightly shaded position, protected from harsh hot weather.  Keep soil moist during dry periods, and can tolerate frost.  This plant is a prolific self seeder, and can tolerate low fertility.",10,Currently no data available.,4-27,60-,Currently no data available.,0,Currently no data available.,Currently no data available.
Mangetout,Pisum sativum (var. macrocarpon),Loamy,Currently no data available.,Legume,Full sun/partial shade,Half hardy,Medium,6.0-7.0,A flat podded variety of pea eaten whole while the peas within are still small.,Currently no data available.,Medium,Require a sunny position with well drained rich soil.  Provide something for plants to climb up.,11,6,4-24,50-170,Currently no data available.,0,Currently no data available.,Currently no data available.
Marrow,Cucurbita pepo,Currently no data available.,Currently no data available.,Cucurbit,Full sun,Tender,High,6.0-7.5,The mature fruit of the courgette.,Currently no data available.,Medium,"Easy to grow and will crop prolifically.  They require the soil to be constantly moist, but water round the plant not over them.",21,7,Currently no data available.,85-90,Currently no data available.,0,Currently no data available.,Currently no data available.
Mizuna,Brassica juncea (var. japonica),Currently no data available.,Currently no data available.,Brassica,Full sun/partial shade,Hardy,High,6.5-7.0,A finely desiccated leaf with a peppery flavour.  Used in salads or stir-frys.,Currently no data available.,High,"Prefer to be grown on rich, loamy soils with high water retention.  Grow in and open sunny position with some shade as this plant dislikes extreme heat.",Currently no data available.,Currently no data available.,Currently no data available.,21-50,Currently no data available.,0,Currently no data available.,Currently no data available.
Mustard,Brassicaceae sinapis alba,Currently no data available.,Currently no data available.,Brassica,Full sun/partial shade,Hardy,Medium,6.0-7.5,"Grown for the round hard seeds, but the leaves can also be eaten prior to flowering.  In warm weather the taste is stronger.",Currently no data available.,Medium,"Easy to grow as not only do these thrive in cool weather, but they are also heat tolerant.  Can also be grown as a green manure in in late summer.",Currently no data available.,Currently no data available.,Currently no data available.,30-50,Currently no data available.,0,Currently no data available.,Currently no data available.
Okra,Abelmoschus esculentus, Loamy,Currently no data available.,Miscellaneous,Full sun,Tender,Medium,6.0-7.5,"A tapering seed pod which produces a sticky, viscous liquid when cooked which thickens soups and sauces.  Widely used in Indian and Caribbean dishes, or whole as a side dish.",Currently no data available.,High,"Okra likes well drained soil warm weather and full sun, seed pods are best picked a week after pollination while still tender. Soak seeds overnight before planting.",35,6,Currently no data available.,50-60,Currently no data available.,0,Currently no data available.,Currently no data available.
Onion,Allium cepa,"Loamy, clay and sandy",Currently no data available.,Allium,Full sun/partial shade,Hardy,Medium,6.0-7.0,Onion is a multi layered bulb which has a sharp pungent flavour.  Used raw in salad or cooked to add flavour to dishes.,Currently no data available.,Medium,"Onions can be grown from either seed or a set (small bulb).  They are easy to grow and can be planted in the spring, or autumn in most soil types.",24,6,10-35,90-130,Currently no data available.,0,Currently no data available.,Currently no data available.
Onions,Allium cepa,"Loamy, clay and sandy",Currently no data available.,Allium,Full sun/partial shade,Hardy,Medium,6.0-7.0,Onion is a multi layered bulb which has a sharp pungent flavour.  Used raw in salad or cooked to add flavour to dishes.,Currently no data available.,Medium,"Onions can be grown from either seed or a set (small bulb).  They are easy to grow and can be planted in the spring, or autumn in most soil types.",24,6,Currently no data available.,90-130,Currently no data available.,0,Currently no data available.,Currently no data available.
Onions,Allium fistulosum,Loamy and sandy,Currently no data available.,Allium,Full sun/partial shade,Very hardy,Low,6.0-7.0,"These plants don’t develop bulbs, but have hollow leaves with the distinctive taste of onion.  Seeds can also be used as sprouts.",Currently no data available.,Medium,"Easy to grow, and only require watering when dry, and feed occasionally.  Will grow in most climates.",24,6,Currently no data available.,60 -,Currently no data available.,0,Currently no data available.,Currently no data available.
Onions,Allium cepa,"Loamy, clay and sandy",Currently no data available.,Allium,Full sun/partial shade,Very hardy,Medium,6.0-7.0,Onion is a multi layered bulb which has a sharp pungent flavour.  Used raw in salad or cooked to add flavour to dishes.,Currently no data available.,Medium,"Onions can be grown from either seed or a set (small bulb).  They are easy to grow and can be planted in the spring, or autumn in most soil types.",24,6,Currently no data available.,90-130,Currently no data available.,0,Currently no data available.,Currently no data available.
Parsnip,Pastinaca sativa,Currently no data available.,Currently no data available.,Umbelliferae,Full sun/partial shade,Half hardy,Low,5.5-7.5,"Closely related to the carrot,  and grown for it's swollen root.  Becomes sweeter after a frost.",Currently no data available.,Medium,"Will grow in most soils, but do best in light rich soils which are stone free.",18,14,10-21,80-120,Currently no data available.,0,Currently no data available.,Currently no data available.
Bell Pepper,Capsicum annuum (Grossum group),Loamy and silty,Currently no data available.,Solanaceae,Full sun/partial shade,Tender,High,5.5-7.0,"Bell or Sweet Peppers come in many different colours, sizes and flavours.  They are all categorized by their rating on the Scoville Scale - the standard for describing hotness. Sweet  peppers have a rating or 0 or 1 and placed in the Grossum group.",Currently no data available.,Medium,"Sweet pepper grows as an annual in well drained soil, but be sure to maintain adequate moisture either with mulch or plastic covering. They are also heat sensitive (above 30ºC), so mulching during the summer months helps keep the soil temperature down.",30,8,17-35,60-80,Currently no data available.,31,Currently no data available.,Currently no data available.
