Name5,FoodStoreCat5,LatinName5,HardinessUSDA,EdibilityRating5,MedicinalRating5,OtherUsesRating5
White Snakeroot. Richweed,Other,Ageratina altissima,5-9,0,2,0
Fragrant Snakeroot,Other,Ageratina herbacea,6-9,0,1,
Western Snakeroot,Other,Ageratina occidentalis,5-9,0,1,
Tall Wheatgrass,Other,Agropyron elongatum,3-8,0,0,
Browntop Bent Grass,Other,Agrostis capillaris,5-9,0,0,4
Tree Of Heaven,Other,Ailanthus altissima,5-9,1,3,5
Australian Bugle,Other,Ajuga australis,6-9,0,1,3
Ground Pine. Yellow bugle,Other,Ajuga chamaepitys,6-9,0,2,
Bugle. Common Bugelweed. Bugleweed. Carpet Bugleweed. Carpetweed. Carpet Bugle,Other,Ajuga reptans,4-9,2,3,2
Akebia. Chocolate vine. Fiveleaf Akebia. Chocolate Vine,Other,Akebia quinata,5-9,4,2,3
Akebia. Threeleaf Akebia,Other,Akebia trifoliata,3-7,4,2,2
Alangium,Other,Alangium platanifolium,3-7,1,1,
Mimosa. Silktree. Mimosa Tree.,Other,Albizia julibrissin,4-9,2,2,2
Hollyhock,Other,Alcea rosea,6-10,3,2,3
Alpine Lady's Mantle. Mountain Lady's Mantle,Other,Alchemilla alpina,5-9,2,3,
Lady's-mantle,Other,Alchemilla mollis,4-8,0,0,3
Unicorn Root - Colic Root. White colicroot,Other,Aletris farinosa,4-7,1,3,
Camel Thorn,Other,Alhagi maurorum,4-7,2,2,0
Great Water Plantain. ZE-XIE. European water plantain. American water plantain. Northern water plan,Other,Alisma plantago-aquatica,6-9,1,3,
Garlic Mustard,Herbs,Alliaria petiolata,4-9,3,2,1
Hooker's Onion. Tapertip onion,Vegetables,Allium acuminatum,5-9,3,2,
Persian Onion. Ornamental Onion,Vegetables,Allium aflatunense,4-9,2,2,
Wild Leek. Broadleaf wild leek,Vegetables,Allium ampeloprasum,5-7,5,3,2
Mouse Garlic,Herbs,Allium angulosum,5-7,3,2,
Bolander's Onion,Vegetables,Allium bolanderi,6-9,3,2,
Canadian Garlic. Meadow garlic. Fraser meadow garlic. Hyacinth meadow garlic,Herbs,Allium canadense,4-9,4,2,2
Canadian Garlic,Herbs,Allium canadense mobilense,6-10,5,2,
Keeled Garlic,Herbs,Allium carinatum,5-9,3,2,
Onion. Garden onion,Vegetables,Allium cepa,4-8,5,3,3
Potato Onion,Vegetables,Allium cepa aggregatum,5-9,4,3,3
Shallot,Herbs,Allium cepa ascalonicum,5-9,5,3,
Tree Onion. Walking Onion,Vegetables,Allium cepa proliferum,5-9,5,3,3
Nodding Onion. New Mexican nodding onion,Vegetables,Allium cernuum,3-10,5,2,2
Rakkyo,Other,Allium chinense,5-8,4,2,
Prairie Onion. Drummond's onion,Vegetables,Allium drummondii,5-9,3,2,
Welsh Onion,Vegetables,Allium fistulosum,5-9,5,2,2
Small Yellow Onion. Ornamental Onion,Vegetables,Allium flavum,3-10,2,2,
Geyer's Onion. Bulbil onion,Vegetables,Allium geyeri,4-8,3,2,
Giant Onion. Ornamental Onion,Vegetables,Allium giganteum,5-8,3,2,
Kunth's onion,Vegetables,Allium kunthii,4-8,3,2,
Largeflower Wild Onion,Vegetables,Allium macropetalum,6-10,3,2,
Golden Garlic. Ornamental Onion,Herbs,Allium moly,6-9,4,2,
Twistedleaf Garlic,Herbs,Allium obliquum,5-9,3,2,
Field Garlic,Herbs,Allium oleraceum,3-7,3,2,
Broadstemmed Onion,Vegetables,Allium platycaule,3-8,3,2,
Leek. Garden leek,Vegetables,Allium porrum,6-9,4,2,
Chinese Chives,Herbs,Allium ramosum,6-10,4,2,
Chives. Wild chives. Flowering Onion,Vegetables,Allium schoenoprasum,5-9,5,2,3
Giant Chives,Herbs,Allium schoenoprasum sibiricum,5-9,5,2,2
Rocambole. Sand leek,Vegetables,Allium scorodoprasum,6-8,4,2,
German Garlic,Herbs,Allium senescens,5-9,4,2,
Round-Headed Leek,Vegetables,Allium sphaerocephalon,4-8,3,2,
Miyama-Rakkyo,Other,Allium splendens,5-9,3,2,
Prairie Onion. Autumn onion,Vegetables,Allium stellatum,4-8,3,2,
Textile Onion,Vegetables,Allium textile,6-9,3,2,2
Wood Leek. Ramp,Vegetables,Allium tricoccum,4-8,4,2,3
Garlic Chives. Chinese chives. Oriental Chives.,Herbs,Allium tuberosum,4-8,5,2,3
Wild Garlic,Herbs,Allium ursinum,6-9,5,3,
Alpine Leek. Victory onion,Vegetables,Allium victorialis,4-10,4,2,
Crow Garlic. Wild garlic. Compact onion. False Garlic. Wild. Onion,Herbs,Allium vineale,4-8,3,2,2
Italian Alder,Other,Alnus cordata,4-8,0,0,4
Alder. European alder . Common Alder. Black Alder,Other,Alnus glutinosa,4-8,0,3,5
Grey Alder. Speckled alder. Thinleaf alder. White Alder,Other,Alnus incana,5-9,0,0,3
Japanese Alder,Other,Alnus japonica,6-9,0,1,
Seaside Alder. Beach Alder,Other,Alnus maritima,4-8,0,0,
Red Alder. Oregon Alder,Other,Alnus rubra,6-9,2,2,4
Speckled Alder,Other,Alnus rugosa,5-9,0,2,3
Smooth Alder. Hazel alder,Other,Alnus serrulata,4-7,0,2,2
Sitka Alder,Other,Alnus sinuata,6-9,1,1,3
Mountain Alder. Thinleaf alder,Other,Alnus tenuifolia,3-7,1,2,
American Green Alder,Other,Alnus viridis crispa,6-10,1,2,3
Palm-leaf marshmallow,Herbs,Althaea cannabina,6-9,0,0,
Marsh Mallow. Common marshmallow,Herbs,Althaea officinalis,4-8,5,5,3
Mat Amaranth,Grain,Amaranthus blitoides,4-8,2,0,1
Slender Amaranth. Purple amaranth,Grain,Amaranthus blitum,3-9,4,2,2
Love Lies Bleeding,Other,Amaranthus caudatus,6-9,4,1,2
Purple Amaranth. Red amaranth,Grain,Amaranthus cruentus,4-8,4,2,2
Rough Pigweed. Slim amaranth,Grain,Amaranthus hybridus,5-9,4,1,1
Prince's Feather. Prince-of-wales feather,Other,Amaranthus hypochondriacus,5-9,4,3,2
Powell's Amaranth,Grain,Amaranthus powellii,6-9,2,0,1
Pigweed. Redroot amaranth. Wild Beet,Vegetables,Amaranthus retroflexus,5-11,3,2,2
Spiny Amaranth,Grain,Amaranthus spinosus,4-8,2,3,1
Chinese Spinach. Joseph's-coat. Fountain Plant. Tampala . Summer Poinsettia,Vegetables,Amaranthus tricolor,6-9,3,1,2
Roman Wormwood. Bitterweed. Blackweed. Carrot Weed. Hay Fever Weed. Stickeweed. Tassel Weed. Wild Ta,Herbs,Ambrosia artemesiifolia,6-9,2,3,1
Giant Ragweed. Great ragweed. Texan great ragweed. Bitterweed. Bloodweed. Buffalo Weed. Horse Cane,Other,Ambrosia trifida,5-9,1,3,1
Saskatoon. Saskatoon serviceberry. Serviceberry,Fruit,Amelanchier alnifolia,4-10,5,2,3
Downy Serviceberry. Alabama serviceberry. Juneberry. Common Serviceberry. Downy Serviceberry,Fruit,Amelanchier arborea,4-8,3,1,2
Korean Juneberry,Fruit,Amelanchier asiatica,4-8,3,0,
Oblongfruit serviceberry,Fruit,Amelanchier bartramiana,5-9,3,0,0
Dwarf Service-berry,Fruit,Amelanchier basalticola,4-8,4,0,0
Juneberry. Canadian serviceberry. Serviceberry Downy. Shadblow. Shadbush. Serviceberry,Fruit,Amelanchier canadensis,5-9,4,1,4
Low serviceberry,Fruit,Amelanchier humilis,5-9,3,0,
Pacific serviceberry,Fruit,Amelanchier interior,4-8,3,0,
June berry.,Fruit,Amelanchier intermedia,4-8,3,0,0
Allegheny Shadberry. Allegheny serviceberry. Smooth Serviceberry,Fruit,Amelanchier laevis,6-9,5,1,2
Southern Juneberry. Coastal serviceberry,Fruit,Amelanchier obovalis,5-8,3,0,1
Snowy Mespilus. Dwarf Garden Serviceberry,Fruit,Amelanchier ovalis,5-9,2,0,
Roundleaf Serviceberry. Gaspe serviceberry,Fruit,Amelanchier sanguinea,3-7,3,0,
Quebec Berry. Running serviceberry,Fruit,Amelanchier stolonifera,3-7,5,1,0
Utah Serviceberry. Coville's serviceberry,Fruit,Amelanchier utahensis,2-6,3,1,2
Apple Serviceberry,Fruit,Amelanchier x grandiflora,4-8,5,0,0
Jack's amelasorbus,Other,Amelasorbus jackii,3-7,2,0,
Fly Poison,Other,Amianthium muscitoxicum,4-8,0,1,
Marram Grass. European beachgrass,Other,Ammophila arenaria,6-8,1,0,4
Beach Grass. American beachgrass,Other,Ammophila breviligulata,2-6,0,0,
Lead Plant,Other,Amorpha canescens,3-9,2,2,3
False Indigo. False indigo bush,Other,Amorpha fruticosa,2-9,1,2,3
Dwarf Indigobush. Dwarf false indigo. Dwarf Indigo,Other,Amorpha nana,5-7,0,1,2
Devil's Tongue. Devil's Tongue. Snake Plant. Konjac. Konnyaku Potato. Voodoo Lily,Other,Amorphophallus konjac,4-8,4,2,2
Pepper Vine,Herbs,Ampelopsis arborea,4-8,2,0,
Porcelain Berry. Amur peppervine. Blueberry Climber. Porcelain Berry Vine,Herbs,Ampelopsis brevipedunculata,3-7,2,2,1
Hog Peanut. American hogpeanut,Nuts,Amphicarpaea bracteata,6-10,5,1,3
Tarweed Fiddleneck,Other,Amsinckia lycopsoides,4-8,1,0,
Pyramidal Orchid,Other,Anacamptis pyramidalis,4-8,2,1,
Mount Atlas Daisy. Chamomile Spanish. Pellitory,Other,Anacyclus pyrethrum,3-11,0,2,
Scarlet Pimpernel,Other,Anagallis arvensis,6-12,2,2,3
Pearly Everlasting. Western pearly everlasting,Other,Anaphalis margaritacea,3-10,1,2,
Anchusa. Italian bugloss,Other,Anchusa azurea,6-11,2,1,
Alkanet. Common bugloss,Other,Anchusa officinalis,3-11,2,1,1
Marsh Andromeda. Bog rosemary,Other,Andromeda polifolia,4-11,2,1,
Big Bluestem,Other,Andropogon gerardii,3-11,0,1,2
Broomsedge Bluestem,Other,Andropogon virginicus,4-8,0,1,1
Rock Jasmine,Other,Androsace sarmentosa,1-11,0,2,
Canadian Anemone,Other,Anemone canadensis,4-6,0,2,
Candle Anemone,Other,Anemone cylindrica,5-8,0,2,
Narcissus-Flowered Anemone. Narcissus anemone,Other,Anemone narcissiflora,4-8,1,0,
Wood Anemone. European thimbleweed,Other,Anemone nemorosa,4-8,0,1,
Wind Flower. Wood anemone. Twoleaf anemone. Nightcaps,Other,Anemone quinquefolia,4-8,0,1,
Cao Yu Mei,Other,Anemone rivularis,4-7,1,2,
Tall Thimbleweed,Other,Anemone virginiana,4-8,0,1,
Rue-Anemone,Herbs,Anemonella thalictroides,4-8,2,1,
Dill,Herbs,Anethum graveolens,5-9,4,3,2
Dong Dang Gui,Other,Angelica acutiloba,5-9,2,1,
Angelica. Norwegian angelica,Other,Angelica archangelica,4-8,3,3,
Purplestem Angelica,Other,Angelica atropurpurea,5-8,2,2,
Giant Angelica. Purple Parsnip. Korean Angelica,Other,Angelica gigas,5-9,2,2,
Du Huo,Other,Angelica pubescens,5-7,2,3,
Dang Gui - Dong Quai - Chinese Angelica,Other,Angelica sinensis,5-9,0,5,
Wild Angelica.Woodland angelica,Other,Angelica sylvestris,4-8,3,2,
Catsfoot. Stoloniferous pussytoes,Other,Antennaria dioica,4-8,0,2,2
Corn Chamomile,Herbs,Anthemis arvensis,4-8,0,2,2
Mayweed. Stinking chamomile,Herbs,Anthemis cotula,4-8,1,2,1
Yellow Camomile. Golden chamomile. Dyers' Chamomile. Golden Marguerite,Herbs,Anthemis tinctoria,3-7,0,1,
Chervil. Garden chervil,Other,Anthriscus cerefolium,5-9,3,2,
Cow Parsley. Wild chervil,Other,Anthriscus sylvestris,4-7,2,1,1
Kidney Vetch,Other,Anthyllis vulneraria,3-7,1,2,
Snapdragon. Garden snapdragon,Other,Antirrhinum majus,4-8,1,1,2
Ground Nut,Nuts,Apios americana,4-8,5,1,3
Hodo. Hodoimo,Other,Apios fortunei,4-8,5,1,3
Traveler's delight,Other,Apios priceana,2-9,5,0,3
Wild Celery. Ajmod. Ajwain-ka-patta (Indian),Other,Apium graveolens,4-8,3,3,
Celeriac,Vegetables,Apium graveolens rapaceum,4-8,4,2,
Putty Root. Adam and eve,Other,Aplectrum hyemale,6-11,0,1,
Spreading Dogbane,Other,Apocynum androsaemifolium,6-9,0,2,1
Indian Hemp,Other,Apocynum cannabinum,5-8,2,2,3
Kendyr,Other,Apocynum pictum,4-8,0,2,3
Wild Columbine. Red columbine. Meeting Houses. Common Columbine,Other,Aquilegia canadensis,6-9,2,2,2
Rocky Mountain Columbine. Colorado blue columbine. Dailey's columbine. White Colorado columbine,Other,Aquilegia coerulea,4-9,2,1,
Fan Columbine. Dwarf Columbine,Other,Aquilegia flabellata,6-9,2,0,
Columbine. Yellow columbine,Other,Aquilegia flavescens,5-9,2,1,
Western Columbine,Other,Aquilegia formosa,5-7,2,2,
Columbine,Other,Aquilegia formosa truncata,6-9,2,2,
Columbine. Jones' columbine. Blue limestone columbine,Other,Aquilegia jonesii,3-7,2,1,
Columbine. Sierra columbine,Other,Aquilegia pubescens,3-7,2,1,
Columbine. European columbine. Granny's Bonnet. European Crowfoot,Other,Aquilegia vulgaris,4-8,2,1,
Alpine Rock Cress. Alpine rockcress,Other,Arabis alpina,2-6,2,0,
Rock Cress. Wall Rockcress,Other,Arabis caucasica,4-8,2,0,3
Hairy rockcress. Mountain rockcress. Creamflower rockcress,Other,Arabis hirsuta,5-9,1,0,
Rock Cress. Kamchatka rockcress. Lyrate rockcress,Other,Arabis lyrata,3-7,1,0,
Chinese Angelica Tree. Pumila Spirea. Chinese Astilbe,Other,Aralia chinensis,3-7,2,2,
Udo,Other,Aralia cordata,4-8,4,2,0
Japanese Angelica Tree. Angelica Tree,Other,Aralia elata,5-9,3,2,2
Bristly Sarsaparilla,Other,Aralia hispida,3-7,2,1,2
Manchurian Angelica Tree,Other,Aralia mandschurica,4-8,2,2,
Wild Sarsaparilla,Other,Aralia nudicaulis,5-9,4,3,3
American Spikenard,Other,Aralia racemosa,4-8,3,3,2
Sakhalin Spikenard,Other,Aralia schmidtii,6-9,2,0,
Hercule's Club. Aralia spinosa. American Angelica Tree. Hercules' Club. Devil's Walking Stick,Other,Aralia spinosa,6-9,2,2,
Arizona Maderone,Other,Arbutus arizonica,4-8,2,1,
Great Burdock. Gobo,Other,Arctium lappa,4-8,4,5,2
Lesser Burdock,Other,Arctium minus,4-7,3,5,4
Hairy Manzanita,Other,Arctostaphylos columbiana,2-11,2,1,
Pine-Mat Manzanita,Other,Arctostaphylos nevadensis,6-9,2,1,
Greenleaf Manzanita,Other,Arctostaphylos patula,4-8,3,1,1
Stanford's manzanita. Rincon manzanita,Other,Arctostaphylos stanfordiana,4-8,3,0,1
Bearberry,Fruit,Arctostaphylos uva-ursi,4-8,3,4,4
White Prickly Poppy. Bluestem pricklypoppy,Other,Argemone albiflora,6-9,0,1,
Tian Nan Xing,Other,Arisaema amurense,6-9,2,3,
Tian Nan Xing,Other,Arisaema consanguineum,4-8,1,3,
Green-Dragon,Other,Arisaema dracontium,4-8,1,1,
Arisaema,Other,Arisaema tortuosum,4-8,2,2,
Jack In The Pulpit. Dragonroot. Indian Turnip,Other,Arisaema triphyllum,4-8,3,2,
Friar's Cowl,Other,Arisarum vulgare,4-6,2,0,
Birthwort,Other,Aristolochia clematitis,6-9,0,2,
Pipevine. Dutchman's Pipe,Other,Aristolochia macrophylla,6-9,0,1,
Sea Thrift. Thrift seapink. California seapink. Interior seapink. Siberian sea thrift,Other,Armeria maritima,6-9,1,1,
Horseradish. Red Cole,Other,Armoracia rusticana,5-10,3,3,2
Mountain Tobacco,Other,Arnica angustifolia alpina,6-9,0,3,
Hillside Arnica. Foothill arnica,Other,Arnica fulgens,3-7,0,2,
Arnica. Mountain arnica,Other,Arnica montana,4-9,0,3,
Red Chokeberry,Fruit,Aronia arbutifolia,6-9,2,0,
Black Chokeberry. Black Berried Aronia,Fruit,Aronia melanocarpa,5-9,3,1,2
Purple Chokeberry,Fruit,Aronia prunifolia,5-9,2,0,
Southernwood,Other,Artemisia abrotanum,4-8,1,3,
Wormwood. Absinthium.,Other,Artemisia absinthium,4-8,1,3,2
Qing Hao. Sweet sagewort,Other,Artemisia annua,4-8,1,4,2
Field Southernwood,Other,Artemisia campestris,4-9,0,2,1
Yin Chen Hao,Other,Artemisia capillaris,4-8,1,3,
Russian Tarragon. Tarragon. French Tarragon,Other,Artemisia dracunculoides,6-9,2,1,
Tarragon. French Tarragon,Other,Artemisia dracunculus,4-10,4,2,3
Sand Sage. Sand sagebrush,Other,Artemisia filifolia,3-7,0,2,1
Fringed Wormwood. Prairie sagewort,Other,Artemisia frigida,3-9,2,2,3
Glacier Wormwood,Other,Artemisia glacialis,4-8,1,2,
Russian Wormwood. Gmelin's wormwood,Other,Artemisia gmelinii,3-7,1,1,
White Mugwort,Other,Artemisia lactiflora,3-7,0,2,
White Sage. Louisiana Sage. Prairie Sage. Western Mugwort,Herbs,Artemisia ludoviciana,3-7,2,2,2
White Sage,Herbs,Artemisia ludoviciana gnaphalodes,4-8,0,2,
Sea Wormwood,Other,Artemisia maritima,6-9,1,2,
Mountain Sagewort. Michaux's wormwood,Other,Artemisia michauxiana,3-9,1,1,
Russian Wormwood,Other,Artemisia sacrorum,4-8,1,0,
Sagebrush. Silvermound. Wormwood. Mugwort,Other,Artemisia schmidtiana,4-9,1,0,
Redstem wormwood,Other,Artemisia scoparia,4-8,1,2,
Beach Wormwood. Oldwoman. Dusty Miller,Other,Artemisia stelleriana,4-8,1,0,3
Sage Brush. Big sagebrush. Bonneville big sagebrush,Other,Artemisia tridentata,6-9,3,2,5
Threetip Sage Brush. Wyoming threetip sagebrush,Other,Artemisia tripartita,4-8,2,1,
Alpine Wormwood,Other,Artemisia umbelliformis,4-9,1,0,
Russian Wormwood,Other,Artemisia vestita,4-9,0,1,
Mugwort. Common wormwood. Felon Herb. Chrysanthemum Weed. Wild Wormwood,Herbs,Artemisia vulgaris,3-7,2,3,1
Italian lords and ladies. Italian Arum,Other,Arum italicum,4-8,2,0,
Cuckoo Pint,Other,Arum maculatum,4-8,2,1,
Goat's Beard. Bride's feathers,Other,Aruncus dioicus,4-8,2,2,
Canebrake bamboo. Cane Reed. Giant cane,Other,Arundinaria gigantea,4-8,3,1,4
Running Bamboo,Other,Arundinaria spp,5-9,3,1,4
Giant Reed. Giant Reed Grass,Other,Arundo donax,5-9,3,2,4
Snake Root. Canadian wildginger. Canada Wild Ginger. Wild Ginger,Herbs,Asarum canadense,3-7,3,3,3
Wild Ginger. British Columbia wildginger,Herbs,Asarum caudatum,4-8,3,2,
Asarabacca. European Wild Ginger,Herbs,Asarum europaeum,6-9,0,2,
Asarabacca. Mottled Wild Ginger,Herbs,Asarum shuttleworthii,5-9,2,0,2
Chinese Wild Ginger,Herbs,Asarum splendens,5-9,3,0,3
Purple Silkweed. Hall's milkweed,Other,Asclepias hallii,5-9,3,1,
Swamp Milkweed. Swamp Butterfly Weed. Marsh Milkweed,Other,Asclepias incarnata,4-8,3,2,3
Purple Silkweed. Fewflower milkweed,Other,Asclepias lanceolata,6-9,2,1,
Oval-leaf milkweed,Other,Asclepias ovalifolia,6-9,2,0,
Low Milkweed. Plains milkweed,Other,Asclepias pumila,4-8,2,1,
Fourleaf Milkweed,Other,Asclepias quadrifolia,6-9,2,2,
Red Silkweed,Other,Asclepias rubra,6-9,3,1,
Showy Milkweed,Other,Asclepias speciosa,4-8,3,2,3
Rush Milkweed,Other,Asclepias subulata,6-9,0,1,0
Common Milkweed. Silkweed. Milkweed,Other,Asclepias syriaca,5-9,3,2,3
Pleurisy Root. Butterfly milkweed. Rolfs' milkweed. Indian Paintbrush,Other,Asclepias tuberosa,6-9,3,3,0
Papaw,Other,Asimina triloba,4-8,4,2,3
Chinese Asparagus,Other,Asparagus cochinchinensis,6-9,3,3,
Asparagus. Garden asparagus,Other,Asparagus officinalis,4-9,4,3,2
Squinancy Wort,Other,Asperula cynanchica,4-8,0,1,
Dyer's Woodruff,Other,Asperula tinctoria,6-9,0,0,
King's Spear. Yellow Asphodel. Jacob's Rod,Other,Asphodeline lutea,5-9,4,0,2
Asphodel. Gamon-blanco,Other,Asphodelus albus,5-8,2,1,
Black Spleenwort,Other,Asplenium adiantum-nigrum,3-9,0,2,
Wall Rue. Lance asplenium,Other,Asplenium ruta-muraria,4-9,0,2,
Hart's Tongue Fern,Other,Asplenium scolopendrium,6-9,0,2,
Maidenhair Spleenwort. Dense spleenwort. Toothed spleenwort. Brightgreen spleenwort,Other,Asplenium trichomanes,3-7,1,1,
Ialian Aster,Other,Aster amellus,4-8,2,2,
Common Blue Wood Aster,Other,Aster cordifolius,5-9,2,1,2
White Panicle Aster,Other,Aster lanceolatus,4-9,0,1,2
Bigleaf Aster,Other,Aster macrophyllus,3-8,2,1,2
New England Aster,Other,Aster novae-angliae,4-8,0,2,
Michaelmas Daisy. New York Aster,Other,Aster novi-belgii,4-8,0,0,2
Purplestem Aster,Other,Aster puniceus,4-9,0,2,2
