Name4,SName4,Family4,Genus4,Species4,Native4,Naturalized4,CoC4,Endemic4,Persisting4,Category4,Habitat4,GrowthHabit4,Duration4,Status_State4,Status_US4,Scientific_Name_With_Authors,Species_Author,Infraspecies,Infraspecies_Author
red baneberry,Actaea rubra,Ranunculaceae,Actaea,rubra,Y,,7,N,Y,Vascular,Mesic to dry-mesic forests. Often in at least slightly rich soils.,Herbaceous,,,,Actaea rubra (Aiton) Willd.,(Aiton) Willd.,,
maidenhair fern,Adiantum pedatum,Pteridaceae,Adiantum,pedatum,Y,,8,N,Y,Vascular,Rich mesic hardwoods forests often on lower slopes and valley bottoms in deep calcareous soils.,Forb/herb,Perennial,,,Adiantum pedatum L.,L.,,
Allegheny vine,Adlumia fungosa,Papaveraceae,Adlumia,fungosa,Y,,9,N,Y,Vascular,Climbing on adjacent vegetation on talus slopes. cliffs. ledges. rocky forests and woodlands often over but not restricted to calcareous bedrock. Appears to respond well to fire and openings in the canopy. Usually some what sparse at a site but occasionally quite abundant and climbing into the canopy.,Vine. Forb/herb,Biennial,,,Adlumia fungosa (Aiton) Greene ex Britton. Sterns & Poggenb.,(Aiton) Greene ex Britton. Sterns & Poggenb.,,
jointed goat grass,Aegilops cylindrica,Poaceae,Aegilops,cylindrica,N,Y,,N,Y,Vascular,Waste areas.,Graminoid,Annual,,,Aegilops cylindrica Host,Host,,
goutweed,Aegopodium podagraria,Apiaceae,Aegopodium,podagraria,N,Y,,N,Y,Vascular,Cultivated and naturalizing.  This is an aggressive weed and it forms dense stands where it gets established.  It has the potential to become a serious problem.  It is mostly found persisting from plantings and in disturbed habitats.,Forb/herb,Perennial,,,Aegopodium podagraria L.,L.,,
fool s parsley,Aethusa cynapium,Apiaceae,Aethusa,cynapium,N,Y,,N,Y,Vascular,,Forb/herb,Annual,,,Aethusa cynapium L.,L.,,
small-flowered agalinis,Agalinis paupercula,Orobanchaceae,Agalinis,paupercula,Y,,7,N,Y,Vascular,,Forb/herb,Annual,,,Agalinis paupercula (A. Gray) Britton,(A. Gray) Britton,,
slender agalinis,Agalinis tenuifolia,Orobanchaceae,Agalinis,tenuifolia,Y,,4,N,Y,Vascular,Forest edges. thin canopied forests. woodlands. roadsides. and disturbed soils often in dry coarse grained soils.,Forb/herb,Annual,,,Agalinis tenuifolia (Vahl) Raf.,(Vahl) Raf.,,
yellow giant hyssop. catnip giant hyssop,Agastache nepetoides,Lamiaceae,Agastache,nepetoides,Y,,6,N,Y,Vascular,,Herbaceous,Perennial,Threatened-State,,Agastache nepetoides (L.) Kuntze,(L.) Kuntze,,
purple giant hyssop. figwort giant hyssop,Agastache scrophulariifolia,Lamiaceae,Agastache,scrophulariifolia,Y,,2,N,Y,Vascular,,Herbaceous,Perennial,,,Agastache scrophulariifolia (Willd.) Kuntze,(Willd.) Kuntze,,
common white snakeroot,Ageratina altissima,Asteraceae,Ageratina,altissima,Y,,4,N,Y,Vascular,A variety of mesic to slightly wetter forest types. shaded stream banks. shaded shale talus of ravines.  In the warmer parts of the state it is quite weedy and does particularly well in successional forests. floodplain forests. and disturbed forests.  In cooler parts of the state this species become more particular and prefers richer areas sometimes near but not in seeps.,Herbaceous,Perennial,,,Ageratina altissima (L.) R.M. King & H. Rob.,(L.) R.M. King & H. Rob.,,
common agrimony,Agrimonia gryposepala,Rosaceae,Agrimonia,gryposepala,Y,,4,N,Y,Vascular,Successional forests. floodplain forests. hardwood forests. forest edges. thickets. edges of dirt roads and paths through forests. stream banks. ditches. edges of marshes. and successional fields in mesic to wet-mesic soils. A plant of a wide variety of habitats but usually growing in relatively small populations.,Herbaceous,Perennial,,,Agrimonia gryposepala Wallr.,Wallr.,,
southern agrimony,Agrimonia parviflora,Rosaceae,Agrimonia,parviflora,Y,,3,N,Y,Vascular,Pastures. successional fields. thickets. wet open forests. and edges of marshes in non-shaded to partly shaded wet-mesic to wet soils.,Forb/herb,Perennial,Rare-State,,Agrimonia parviflora Aiton,Aiton,,
downy agrimony,Agrimonia pubescens,Rosaceae,Agrimonia,pubescens,Y,,8,N,Y,Vascular,Dry-mesic to mesic oak-hickory forests and woodlands.,Forb/herb,Perennial,,,Agrimonia pubescens Wallr.,Wallr.,,
roadside agrimony,Agrimonia striata,Rosaceae,Agrimonia,striata,Y,,4,N,Y,Vascular,Pastures. successional fields. thickets. floodplain forests. successional and weedy forests. stream banks. and roadsides often in mesic to wet-mesic disturbed soils.,Forb/herb,Perennial,,,Agrimonia striata Michx.,Michx.,,
crested wheat grass,Agropyron cristatum,Poaceae,Agropyron,cristatum,N,U,,N,Y,Vascular,Rarely naturalized in disturbed areas. around grain facilities. and beaches.,Graminoid,Perennial,,,Agropyron cristatum L.,L.,,
common corncockle,Agrostemma githago var. githago,Caryophyllaceae,Agrostemma,githago,N,Y,,N,Y,Vascular,,Forb/herb,Annual,,,Agrostemma githago L. var. githago,L.,var. githago,
Rhode Island bent,Agrostis capillaris,Poaceae,Agrostis,capillaris,N,Y,,N,Y,Vascular,Fields. pastures. roadsides. dirt roads. and clearings and openings in forests.,Graminoid,Perennial,,,Agrostis capillaris L.,L.,,
redtop,Agrostis gigantea,Poaceae,Agrostis,gigantea,N,Y,,N,Y,Vascular,Roadsides. fields. pastures. thickets. and disturbed soils.,Graminoid,Perennial,,,Agrostis gigantea Roth,Roth,,
southern tickle grass,Agrostis hyemalis,Poaceae,Agrostis,hyemalis,Y,,3,N,Y,Vascular,,Graminoid,Perennial,,,Agrostis hyemalis (Walter) Britton. Sterns & Poggenb.,(Walter) Britton. Sterns & Poggenb.,,
autumn bent,Agrostis perennans,Poaceae,Agrostis,perennans,Y,,4,N,Y,Vascular,Mesic forests sometimes on edges of forested streams.,Graminoid,Perennial,,,Agrostis perennans (Walter) Tuck.,(Walter) Tuck.,,
northern tickle grass,Agrostis scabra,Poaceae,Agrostis,scabra,Y,,3,N,Y,Vascular,Floating logs and vegetation mats in ponds. edges of marshes on exposed soils. shale and fine talus slopes in woodlands or openings. and roadsides. Occurs in saturated to dry soils and appears to do best in open soils in full sun.,Graminoid,Perennial,,,Agrostis scabra Willd.,Willd.,,
creeping bent,Agrostis stolonifera,Poaceae,Agrostis,stolonifera,N,Y,,N,Y,Vascular,Edges of streams. roadside ditches. marshes including inland salt marshes. and disturbed wet to seasonally flooded soils.,Graminoid,Perennial,,,Agrostis stolonifera L.,L.,,
tree of heaven,Ailanthus altissima,Simaroubaceae,Ailanthus,altissima,N,Y,,N,Y,Vascular,Waste places. disturbed soils. roadsides. successional forests. and rocky outcrops and summits. This species is able to grow in highly urbanized environments and is a highly invasive species in natural areas.,Tree,Perennial,,,Ailanthus altissima (Mill.) Swingle,(Mill.) Swingle,,
hollyhock,Alcea rosea,Malvaceae,Alcea,rosea,N,Y,,N,Y,Vascular,,Herbaceous,Perennial,,,Alcea rosea L.,L.,,
southern water plantain,Alisma subcordatum,Alismataceae,Alisma,subcordatum,Y,,4,N,Y,Vascular,"This species along with A. triviale are very similar in terms of their habitat preferences and we have not detected a difference in habitat types.  Edges of streams. rivers. ponds. and marshes; and seasonally flooded ponds.   This species does quite well on seasonally exposed ""draw down"" zones on edges of marshes. ponds. and streams.",Forb/herb,Perennial,,,Alisma subcordatum Raf.,Raf.,,
northern water plantain,Alisma triviale,Alismataceae,Alisma,triviale,Y,,4,N,Y,Vascular,"This species along with A. subcordatum are very similar in terms of their habitat preferences and we have not detected a difference in habitat types.  Edges of streams. rivers. ponds. and marshes; and seasonally flooded ponds.   This species does quite well on seasonally exposed ""draw down"" zones on edges of marshes. ponds. and streams.",Forb/herb,Perennial,,,Alisma triviale Pursh,Pursh,,
Chinese lantern,Alkekengi officinarum,Solanaceae,Alkekengi,officinarum,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Alkekengi officinarum Moench,Moench,,
garlic mustard,Alliaria petiolata,Brassicaceae,Alliaria,petiolata,N,Y,,N,Y,Vascular,Thickets. forests. roadsides. and disturbed areas. It does invade undisturbed forests but perhaps is much less common in that habitat than in disturbed successional forests and thickets. It also does very well in alluvial soils. Overall a very problematic highly invasive species that can thrive in understories.,Herbaceous,Biennial,,,Alliaria petiolata (M. Bieb.) Cavara & Grande,(M. Bieb.) Cavara & Grande,,
Canada onion,Allium canadense var. canadense,Amaryllidaceae,Allium,canadense,Y,,4,N,Y,Vascular,Floodplain forests. alluvial thickets. banks of streams. and rich low forests. Sometimes a little weedy. Mostly restricted to rich deep alluvial soils.,Herbaceous,Perennial,,,Allium canadense L. var. canadense,L.,var. canadense,
nodding onion,Allium cernuum,Amaryllidaceae,Allium,cernuum,Y,,7,N,Y,Vascular,Dry shaley and rocky forested slopes. bluffs. barrens and woodlands. Mostly on south or west facing upper slopes often with at most partial shade. Local and rare but populations can be quite large.,Forb/herb,Perennial,Threatened-State,,Allium cernuum Roth,Roth,,
common wild leek,Allium tricoccum,Amaryllidaceae,Allium,tricoccum,Y,,8,N,Y,Vascular,Rich mesic hardwood forests. Often growing with a diverse and thick herbaceous layer. It often forms very large patches.,Forb/herb,Perennial,,,Allium tricoccum Aiton,Aiton,,
field garlic,Allium vineale,Amaryllidaceae,Allium,vineale,N,Y,,N,Y,Vascular,A weedy species of cultivated ground. fields. pastures. disturbed soils. and occasionally waste places.,Herbaceous,Perennial,,,Allium vineale L.,L.,,
black alder. European alder,Alnus glutinosa,Betulaceae,Alnus,glutinosa,N,Y,,N,Y,Vascular,Roadsides. thickets. ditches. stream edges. edge of coastal bays. wet low areas. and disturbed areas. Perhaps becoming a problematic non-native species at least in parts of NY.,Tree,Perennial,,,Alnus glutinosa (L.) Gaertn.,(L.) Gaertn.,,
short-awned foxtail,Alopecurus aequalis var. aequalis,Poaceae,Alopecurus,aequalis,Y,,7,N,Y,Vascular,Marshes. swamps. and occasionally wet roadsides. Somewhat local with populations often small.,Graminoid,Perennial,,,Alopecurus aequalis Sobol. var. aequalis,Sobol.,var. aequalis,
small alyssum,Alyssum alyssoides,Brassicaceae,Alyssum,alyssoides,N,Y,,N,Y,Vascular,,Herbaceous,Biennial,,,Alyssum alyssoides (L.) L.,(L.) L.,,
tumbleweed amaranth,Amaranthus albus,Amaranthaceae,Amaranthus,albus,N,Y,,N,Y,Vascular,Waste places. ballast. cultivated fields. and banks of creeks.,Herbaceous,Annual,,,Amaranthus albus L.,L.,,
prostrate amaranth,Amaranthus blitoides,Amaranthaceae,Amaranthus,blitoides,N,Y,,N,Y,Vascular,Gravel bars and banks of rivers. disturbed habitats.,Forb/herb,Annual,,,Amaranthus blitoides S. Wats.,S. Wats.,,
notch-leaved amaranth,Amaranthus blitum,Amaranthaceae,Amaranthus,blitum,N,Y,,N,Y,Vascular,Waste places. soil piles. and disturbed areas.,Forb/herb,Annual,,,Amaranthus blitum L.,L.,,
green amaranth,Amaranthus hybridus ssp. hybridus,Amaranthaceae,Amaranthus,hybridus,Y,,0,N,Y,Vascular,A very common weed in agricultural fields.  Also in waste places.,Forb/herb,Annual,,,Amaranthus hybridus L. ssp. hybridus,L.,ssp. hybridus,
Powell s amaranth,Amaranthus powellii ssp. powellii,Amaranthaceae,Amaranthus,powellii,N,Y,,N,Y,Vascular,,Forb/herb,Annual,,,Amaranthus powellii S. Watson ssp. powellii,S. Watson,ssp. powellii,
red-rooted amaranth,Amaranthus retroflexus,Amaranthaceae,Amaranthus,retroflexus,Y,,0,N,Y,Vascular,Agricultural fields and waste places.,Herbaceous,Annual,,,Amaranthus retroflexus L.,L.,,
spiny amaranth,Amaranthus spinosus,Amaranthaceae,Amaranthus,spinosus,N,Y,,N,Y,Vascular,,Herbaceous,Annual,,,Amaranthus spinosus L.,L.,,
common ragweed,Ambrosia artemisiifolia,Asteraceae,Ambrosia,artemisiifolia,Y,,0,N,Y,Vascular,A very weedy native species. Cultivated ground. roadsides. waste places. barnyards. thin dry exposed soils of rocky or forest opening. seasonally exposed cobble bars in streams.  Along roads this plant can be quite thick. although dwarfed. and grows very close to edge of the tarmac.  In native habitats it usually does not get as tall and robust as in cultivated ground. ,Forb/herb,Annual,,,Ambrosia artemisiifolia L.,L.,,
western ragweed,Ambrosia psilostachya,Asteraceae,Ambrosia,psilostachya,N,Y,,N,Y,Vascular,Fields and roadsides.,Forb/herb,Perennial,,,Ambrosia psilostachya DC.,DC.,,
giant ragweed,Ambrosia trifida,Asteraceae,Ambrosia,trifida,Y,,3,N,Y,Vascular,Successional fields. waste places. and floodplains including floodplain forests.  In New York this species is not as weedy as A. artemisiifolia.,Herbaceous,Annual,,,Ambrosia trifida L.,L.,,
low shadbush,Amelanchier alnifolia,Rosaceae,Amelanchier,alnifolia,Y,,7,N,Y,Vascular,Bluffs. tops of cliffs and rock outcrops. ledges. rocky summits. openings in forests. and less commonly in adjacent forested slopes in thin dry to dry-mesic calcareous soils.,Shrub,Perennial,,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,(Nutt.) Nutt. ex M. Roem.,,
downy shadbush,Amelanchier arborea,Rosaceae,Amelanchier,arborea,Y,,4,N,Y,Vascular,A wide variety of hardwood forests. forest edges. hedge rows. bluffs. ledges. roadsides. and occasionally hummocks in swamps.,Tree. Shrub,Perennial,,,Amelanchier arborea (F. Michx.) Fernald,(F. Michx.) Fernald,,
smooth shadbush,Amelanchier laevis,Rosaceae,Amelanchier,laevis,Y,,4,N,Y,Vascular,Forests. forest edges. openings in forests. thickets. bluffs. rock outcrops. ledges. hummocks in swamps. and roadsides.,Tree. Shrub,Perennial,,,Amelanchier laevis Wiegand,Wiegand,,
round-leaved shadbush,Amelanchier sanguinea,Rosaceae,Amelanchier,sanguinea,Y,,7,N,Y,Vascular,Bluffs. tops of cliffs and rock outcrops. ledges. and roadsides in thin dry to dry-mesic often rocky soils.,Tree. Shrub,Perennial,,,Amelanchier sanguinea (Pursh) DC.,(Pursh) DC.,,
hog peanut,Amphicarpaea bracteata,Fabaceae,Amphicarpaea,bracteata,Y,,5,N,Y,Vascular,Mesic hardwood forests and forested thickets. Sometimes occurs in wet-mesic soils but usually more of a mesic soil species.,Vine,Perennial,,,Amphicarpaea bracteata (L.) Fernald,(L.) Fernald,,
pearly everlasting,Anaphalis margaritacea,Asteraceae,Anaphalis,margaritacea,Y,,2,N,Y,Vascular,Much more common in northern parts of the state.  Cut forests. edges of forests. roadsides. and successional old fields often in thin sterile soils.,Forb/herb,Perennial,,,Anaphalis margaritacea (L.) Benth. & Hook. f.,(L.) Benth. & Hook. f.,,
Virginia chain fern,Anchistea virginica,Blechnaceae,Anchistea,virginica,Y,,9,N,Y,Vascular,Acid bogs. swamps. edges of ponds. and wet thickets. In at least parts of NY this species is very limited in distribution. Where it occurs it can form large stands.,Forb/herb,Perennial,,,Anchistea virginica (L.) C. Presl,(L.) C. Presl,,
northern wild comfrey. northern hound s tongue,Andersonglossum boreale,Boraginaceae,Andersonglossum,boreale,Y,,8,N,Y,Vascular,Openings and clearings in forests. edges of forests. and disturbed soils in rich sites.,Forb/herb,Perennial,Endangered-State,,Andersonglossum boreale (Fernald) Jim. Mejias. J.I. Cohen & Naczi,(Fernald) Jim. Mejias. J.I. Cohen & Naczi,,
bog rosemary,Andromeda polifolia var. latifolia,Ericaceae,Andromeda,polifolia,Y,,10,N,Y,Vascular,"Acidic bogs. Often growing mixed with other shrubs and forming a dense low shrub thicket in bogs. Also growing on hummocks or rises in bogs in small shrub ""islands"".",Shrub,Perennial,,,Andromeda polifolia L. var. latifolia Aiton,L.,var. latifolia,Aiton
big bluestem,Andropogon gerardi,Poaceae,Andropogon,gerardi,Y,,8,N,Y,Vascular,Ice and river scour shores of medium to large sized rivers. dry open habitats including rocky summits. open hillsides in woodlands and forests. bluffs. sandy fields. and roadsides. It is sometimes planted on roadsides.,Graminoid,Perennial,,,Andropogon gerardi Vitman,Vitman,,
Canada anemone,Anemone canadensis,Ranunculaceae,Anemone,canadensis,Y,,5,N,Y,Vascular,Low forests and thickets. edges of lakes and streams. and fens. Predominately in mesic to wet calcareous soils but occasionally in drier situations.,Forb/herb,Perennial,,,Anemone canadensis L.,L.,,
long-headed anemone,Anemone cylindrica,Ranunculaceae,Anemone,cylindrica,Y,,7,N,Y,Vascular,,Forb/herb,Perennial,,,Anemone cylindrica A. Gray,A. Gray,,
wood anemone,Anemone quinquefolia var. quinquefolia,Ranunculaceae,Anemone,quinquefolia,Y,,7,N,Y,Vascular,Mesic thickets. forests. forest edges. and edges of streams often in valley bottoms.,Forb/herb,Perennial,,,Anemone quinquefolia L. var. quinquefolia,L.,var. quinquefolia,
tall anemone. thimbleweed,Anemone virginiana,Ranunculaceae,Anemone,virginiana,Y,,5,N,Y,Vascular,Thickets. vegetated roadsides. dry-mesic forests and woodlands. openings in forests. and stream sides in dry to mesic soils.,Forb/herb,Perennial,,,Anemone virginiana L.,L.,,
dill,Anethum graveolens,Apiaceae,Anethum,graveolens,N,Y,,N,Y,Vascular,Widely cultivated and apparently naturalizing although it is rare.,Forb/herb,Annual,,,Anethum graveolens L.,L.,,
purple-stemmed angelica,Angelica atropurpurea,Apiaceae,Angelica,atropurpurea,Y,,4,N,Y,Vascular,Banks of streams and rivers. marshes. and open swamps.  This species prefers rich sites and often occurs near or adjacent to streams.,Forb/herb,Perennial,,,Angelica atropurpurea L.,L.,,
hairy angelica. deadly angelica,Angelica venenosa,Apiaceae,Angelica,venenosa,Y,,8,N,Y,Vascular,,Forb/herb,Perennial,Rare-State,,Angelica venenosa (J. Greenway) Fernald,(J. Greenway) Fernald,,
Canada pussytoes,Antennaria howellii ssp. canadensis,Asteraceae,Antennaria,howellii,Y,,2,N,Y,Vascular,Openings in forests. woodlands. edges of forests. dry roadsides. successional fields. pastures. and dry river banks.,Herbaceous,Perennial,,,Antennaria howellii Greene ssp. canadensis (Greene) R.J. Bayer,Greene,ssp. canadensis,(Greene) R.J. Bayer
small pussytoes,Antennaria howellii ssp. neodioica,Asteraceae,Antennaria,howellii,Y,,2,N,Y,Vascular,Open forests and woodlands. ledges. fine shale talus slopes. gravelly roadsides. and fields over thin soils.,Herbaceous,Perennial,,,Antennaria howellii Greene ssp. neodioica (Greene) R.J. Bayer,Greene,ssp. neodioica,(Greene) R.J. Bayer
petal-like pussytoes,Antennaria howellii ssp. petaloidea,Asteraceae,Antennaria,howellii,Y,,2,N,Y,Vascular,Open forests and woodlands. ledges. fine shale talus slopes. gravelly roadsides. and fields over thin soils.,Herbaceous Dicot,Perennial,,,Antennaria howellii Greene ssp. petaloidea (Fernald) R.J. Bayer,Greene,ssp. petaloidea,(Fernald) R.J. Bayer
field pussytoes,Antennaria neglecta,Asteraceae,Antennaria,neglecta,Y,,2,N,Y,Vascular,Banks of dirt roads. edges of forests. and open forests on thin soils.,Forb/herb,Perennial,,,Antennaria neglecta Greene,Greene,,
deceitful pussytoes,Antennaria parlinii ssp. fallax,Asteraceae,Antennaria,parlinii,Y,,3,N,Y,Vascular,Gravel roadsides. fields on thin soils.,Herbaceous,Perennial,,,Antennaria parlinii Fernald ssp. fallax (Greene) R.J. Bayer & Stebbins,Fernald,ssp. fallax,(Greene) R.J. Bayer & Stebbins
Parlin s pussytoes,Antennaria parlinii ssp. parlinii,Asteraceae,Antennaria,parlinii,Y,,3,N,Y,Vascular,Open mesic forested slopes with herbaceous vegetation low.,Herbaceous,Perennial,,,Antennaria parlinii Fernald ssp. parlinii,Fernald,ssp. parlinii,
plantain-leaved pussytoes,Antennaria plantaginifolia,Asteraceae,Antennaria,plantaginifolia,Y,,4,N,Y,Vascular,Thin or open deciduous forests. edges of forests. woodlands. rocky summits. road banks. and successional fields.  In mesic to dry soils that are thin or where the herbaceous vegetation is not tall or dense.,Herbaceous,Perennial,,,Antennaria plantaginifolia (L.) Hook.,(L.) Hook.,,
corn chamomile,Anthemis arvensis,Asteraceae,Anthemis,arvensis,N,Y,,N,Y,Vascular,Waste places. roadsides. pastures. cultivated fields. and edges of paths.,Forb/herb,Annual,,,Anthemis arvensis L.,L.,,
stinking chamomile. mayweed,Anthemis cotula,Asteraceae,Anthemis,cotula,N,Y,,N,Y,Vascular,Waste places. roadsides. gravel bars of streams. and cultivated fields.,Forb/herb,Annual,,,Anthemis cotula L.,L.,,
sweet vernal grass,Anthoxanthum odoratum,Poaceae,Anthoxanthum,odoratum,N,Y,,N,Y,Vascular,Fields. pastures. edges of forests. and woodlands in disturbed soils. Very common in fields in thin dry soils but also scattered in more native habitats in disturbed soils.,Graminoid,Perennial,,,Anthoxanthum odoratum L.,L.,,
one-flowered broomrape,Aphyllon uniflorum,Orobanchaceae,Aphyllon,uniflorum,Y,,4,N,Y,Vascular,Mesic forests and fields. Parasitic on various plants. Somewhat local in distribution and populations are often small.,Forb/herb,Annual,,,Aphyllon uniflorum (L.) Torr. & A. Gray,(L.) Torr. & A. Gray,,
groundnut,Apios americana,Fabaceae,Apios,americana,Y,,5,N,Y,Vascular,Floodplain forests. thickets. stream and ditch edges. and edges of marshes. Often in open sites with soils that are at least seasonally wet-mesic but dry out later in the season.,Vine. Forb/herb,Perennial,,,Apios americana Medik.,Medik.,,
puttyroot. Adam and Eve,Aplectrum hyemale,Orchidaceae,Aplectrum,hyemale,Y,,8,N,Y,Vascular,Mesic forests. Clearly declining in New York.,Forb/herb,Perennial,Endangered-State,,Aplectrum hyemale (Muhl. ex Willd.) Nutt.,(Muhl. ex Willd.) Nutt.,,
spreading dogbane,Apocynum androsaemifolium,Apocynaceae,Apocynum,androsaemifolium,Y,,2,N,Y,Vascular,Roadsides. fields. thickets. often in thin soils.,Forb/herb,Perennial,,,Apocynum androsaemifolium L.,L.,,
hybrid dogbane,Apocynum androsaemifolium  x A. cannabinum = A.  xfloribundum,Apocynaceae,Apocynum,androsaemifolium x A. cannabinum = A. xfloribundum,Y,,,N,Y,Vascular,,Forb/herb,Perennial,,,Apocynum androsaemifolium  x A. cannabinum = A.  xfloribundum Greene,Greene,,
Indian hemp,Apocynum cannabinum,Apocynaceae,Apocynum,cannabinum,Y,,2,N,Y,Vascular,Dry thin forests. rocky openings. fields. thickets. gravely stream banks. and roadsides. It is also occasionally found in marshes.,Forb/herb,,,,Apocynum cannabinum L.,L.,,
wild columbine. red columbine,Aquilegia canadensis,Ranunculaceae,Aquilegia,canadensis,Y,,5,N,Y,Vascular,Cliffs. ledges. talus slopes. on or adjacent to forested rock outcrops. and edges of paths and dirt roads through forests often associated with calcareous soils and/or bedrock,Forb/herb,Perennial,,,Aquilegia canadensis L.,L.,,
