abronia macrocarpa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
abronia maritima,CA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia mellifera,ID-OR-UT-WA-WY,,,,,,,,,,,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,UT,,,WA,,,WY
abronia minor,CA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia nana,AZ-CA-CO-NV-NM-UT,,,AZ,,CA,CO,,,,,,,,,,,,,,,,,,,,,,,NV,,,NM,,,,,,,,,,,,,UT,,,,,,
abronia nana var. covillei,CA-NV,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,,,,,,,,,,,,,,,,,,,,
abronia nana var. harrisii,NM-UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,UT,,,,,,
abronia nana var. nana,AZ-CA-CO-NV-UT,,,AZ,,CA,CO,,,,,,,,,,,,,,,,,,,,,,,NV,,,,,,,,,,,,,,,,UT,,,,,,
abronia neurophylla,CA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia pogonantha,CA-NV,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,,,,,,,,,,,,,,,,,,,,
abronia turbinata,CA-NV-OR,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,,,,,,,OR,,,,,,,,,,,,,
abronia umbellata,CA-OR-WA-BC,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,WA,,,
abronia umbellata ssp. breviflora,CA-OR-WA-BC,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,WA,,,
abronia umbellata ssp. umbellata,CA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia villosa,AZ-CA-NV-UT,,,AZ,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,,,,,,,,,,,,,,UT,,,,,,
abronia villosa var. aurita,AZ-CA,,,AZ,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia villosa var. villosa,AZ-CA-NV-UT,,,AZ,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,,,,,,,,,,,,,,UT,,,,,,
abrus,AL-AR-FL-GA-HI-PR-VI,AL,,,AR,,,,,,FL,GA,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrus precatorius,AL-AR-FL-GA-HI-PR-VI,AL,,,AR,,,,,,FL,GA,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon,AL-AZ-AR-CA-CO-CT-DE-DC-FL-GA-HI-ID-IL-IN-IA-KS-KY-LA-ME-MD-MA-MI-MN-MS-MO-MT-NE-NV-NH-NJ-NM-NY-NC-ND-OH-OK-OR-PA-RI-SC-SD-TN-TX-UT-VT-VA-WA-WV-WI-WY-PR-VI-AB-BC-MB-NB-NS-ON-PE-QC-SK,AL,,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
abutilon abutiloides,AZ-TX-PR-VI,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
abutilon auritum,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon berlandieri,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
abutilon eremitopetalum,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon fruticosum,AR-OK-TX,AL,,,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,TX,,,,,,,
abutilon grandifolium,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon hirtum,FL-PR-VI,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon hulseanum,FL-LA-TX-PR,AL,,,,,,,,,FL,,,,,,,,,LA,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
abutilon hypoleucum,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
abutilon incanum,AZ-CO-HI-NM,AL,,AZ,,,CO,,,,,,HI,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,,,,,,,
abutilon indicum,HI-PR-VI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon malacum,AZ-NM-TX,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
abutilon menziesii,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon mollicomum,AZ-NM-TX,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
abutilon palmeri,AZ-CA,AL,,AZ,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon parishii,AZ,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon parvulum,AZ-CA-CO-NV-NM-TX-UT,AL,,AZ,,CA,CO,,,,,,,,,,,,,,,,,,,,,,,NV,,,NM,,,,,,,,,,,,TX,UT,,,,,,
abutilon permolle,FL-PR,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon reventum,AZ,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon sandwicense,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon theophrasti,AL-AZ-AR-CA-CO-CT-DE-DC-FL-GA-ID-IL-IN-IA-KS-KY-LA-ME-MD-MA-MI-MN-MS-MO-MT-NE-NV-NH-NJ-NM-NY-NC-ND-OH-OK-OR-PA-RI-SC-SD-TN-TX-UT-VT-VA-WA-WV-WI-WY-AB-BC-MB-NB-NS-ON-PE-QC-SK,AL,,AZ,AR,CA,CO,CT,DE,DC,FL,GA,,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
abutilon thurberi,AZ,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abutilon trisulcatum,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
abutilon wrightii,NM-TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
acacia,AL-AZ-AR-CA-FL-GA-HI-KS-LA-MD-MS-MO-NV-NM-OK-OR-TX-UT-VA-PR-VI,AL,,AZ,AR,CA,,,,,FL,GA,HI,,,,,KS,,LA,,MD,,,,MS,MO,,,NV,,,NM,,,,,OK,OR,,,,,,TX,UT,,VA,,,,
acacia aneura,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia angustissima,AZ-AR-FL-KS-LA-MO-NM-OK-TX,AL,,AZ,AR,,,,,,FL,,,,,,,KS,,LA,,,,,,,MO,,,,,,NM,,,,,OK,,,,,,,TX,,,,,,,
acacia angustissima var. chisosiana,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
acacia angustissima var. hirta,AR-FL-KS-LA-MO-OK-TX,AL,,,AR,,,,,,FL,,,,,,,KS,,LA,,,,,,,MO,,,,,,,,,,,OK,,,,,,,TX,,,,,,,
acacia angustissima var. shrevei,AZ,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia angustissima var. suffrutescens,AZ-NM,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,,,,,,,
acacia angustissima var. texensis,AZ-NM-TX,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
acacia auriculiformis,FL,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia baileyana,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia berlandieri,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
acacia choriophylla,FL,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia confusa,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia constricta,AZ-MD-NM-TX-VA,AL,,AZ,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,VA,,,,
acacia constricta var. constricta,AZ-MD-NM-TX-VA,AL,,AZ,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,VA,,,,
acacia constricta var. paucispina,AZ-NM-TX,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
acacia cornigera,FL,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia cyclops,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia dealbata,CA-OR,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,
acacia decurrens,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia elata,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia farnesiana,AL-AZ-CA-FL-GA-HI-LA-MS-NM-TX-PR-VI,AL,,AZ,,CA,,,,,FL,GA,HI,,,,,,,LA,,,,,,MS,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
acacia greggii,AZ-CA-NV-NM-TX-UT,AL,,AZ,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,NM,,,,,,,,,,,,TX,UT,,,,,,
acacia greggii var. greggii,AZ-CA-NV-NM-TX-UT,AL,,AZ,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,NM,,,,,,,,,,,,TX,UT,,,,,,
acacia greggii var. wrightii,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
acacia koa,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia koaia,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia longifolia,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia macracantha,FL-GA-PR-VI,AL,,,,,,,,,FL,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia mearnsii,CA-HI,AL,,,,CA,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia melanoxylon,CA-HI,AL,,,,CA,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia millefolia,AZ-NM,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,,,,,,,
acacia muricata,PR-VI,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia neovernicosa,AZ-NM-TX,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
acacia nilotica,PR-VI,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia paradoxa,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia parramattensis,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia pinetorum,FL,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia podalyriifolia,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia polyacantha,PR-VI,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia pycnantha,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia redolens,AZ-CA,AL,,AZ,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia retinodes,CA-FL,AL,,,,CA,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia retusa,PR-VI,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia rigidula,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
acacia roemeriana,NM-TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
acacia saligna,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia schaffneri,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
acacia schaffneri var. bravoensis,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
acacia schottii,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
acacia sphaerocephala,FL,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia tortuosa,FL-PR-VI,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia verticillata,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acacia vogeliana,PR-VI,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acaena,CA-HI-OR,AL,,,,CA,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,
acaena exigua,HI,AL,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acaena novae-zelandiae,CA-OR,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,
acaena pallida,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acaena pinnatifida,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acaena pinnatifida var. californica,CA,AL,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha,AL-AZ-AR-CA-CT-DE-DC-FL-GA-IL-IN-IA-KS-KY-LA-ME-MD-MA-MI-MN-MS-MO-NE-NH-NJ-NM-NY-NC-ND-OH-OK-PA-RI-SC-SD-TN-TX-VT-VA-WV-WI-PR-VI-NB-NS-ON-QC,AL,,AZ,AR,CA,,CT,DE,DC,FL,GA,,,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,,NE,,NH,NJ,NM,NY,NC,ND,OH,OK,,PA,RI,SC,SD,TN,TX,,VT,VA,,WV,WI,
acalypha alopecuroidea,AL-FL-LA-PR,AL,,,,,,,,,FL,,,,,,,,,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha amentacea,FL-PR,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha amentacea ssp. wilkesiana,FL-PR,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha arvensis,FL,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha australis,NJ-NY,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NJ,,NY,,,,,,,,,,,,,,,,,,
acalypha berteriana,PR,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha bisetosa,PR,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha californica,AZ-CA,AL,,AZ,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha chamaedryfolia,FL-PR-VI,AL,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha deamii,AR-IL-IN-IA-KS-KY-MO-OH-PA-TN-VA,AL,,,AR,,,,,,,,,,IL,IN,IA,KS,KY,,,,,,,,MO,,,,,,,,,,OH,,,PA,,,,TN,,,,VA,,,,
acalypha gracilens,AL-AR-CT-DE-DC-FL-GA-IL-IN-IA-KY-LA-ME-MD-MA-MI-MS-MO-NH-NJ-NY-NC-OH-OK-PA-RI-SC-TN-TX-VT-VA-WV-WI,AL,,,AR,,,CT,DE,DC,FL,GA,,,IL,IN,IA,,KY,LA,ME,MD,MA,MI,,MS,MO,,,,NH,NJ,,NY,NC,,OH,OK,,PA,RI,SC,,TN,TX,,VT,VA,,WV,WI,
acalypha hispida,PR,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha mexicana,AZ,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acalypha monococca,AR-IL-KS-MO-OK-TX,AL,,,AR,,,,,,,,,,IL,,,KS,,,,,,,,,MO,,,,,,,,,,,OK,,,,,,,TX,,,,,,,
acalypha monostachya,TX,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
acalypha neomexicana,AZ-NM-TX,AL,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
